name,brand,category,form,dose_per_serving,dose_unit,serving_size,servings_per_container,price_usd,cost_per_day_usd,third_party_certification,evidence_grade,primary_use,pubmed_ids,editorial_pick,amazon_asin
Thorne Iron Bisglycinate 25 mg,Thorne,iron-bisglycinate,bisglycinate,25,mg,1 capsule,60,16.00,0.27,NSF Certified for Sport,strong,iron deficiency / anemia,,quality,B0797GZDZL
MegaFood Blood Builder,MegaFood,iron-bisglycinate,bisglycinate + cofactors,26,mg,1 tablet,90,28.99,0.32,NSF Certified,strong,iron deficiency / anemia,,,B000F4ZRCC
BulkSupplements Magnesium Glycinate Powder,BulkSupplements.com,magnesium-glycinate,glycinate,225,mg,~1/2 tsp powder,200,19.96,0.18,None,strong,sleep / anxiety / deficiency,33865376;28445426,budget,B00F7OZJQE
Vitamin Shoppe Magnesium Glycinate 400mg,The Vitamin Shoppe,magnesium-glycinate,glycinate,400,mg,2 tablets,90,21.99,0.24,None,strong,sleep / anxiety / deficiency,33865376;28445426,best-value,B0DZLYHSVN
Nature Made Magnesium Glycinate 200mg,Nature Made,magnesium-glycinate,glycinate,200,mg,1 capsule,60,13.99,0.47,USP Verified,strong,sleep / anxiety / deficiency,33865376;28445426,quality,B08XXHCGZT
Doctor's Best High Absorption Magnesium,Doctor's Best,magnesium-glycinate,glycinate,200,mg,2 tablets,60,15.29,0.51,None,strong,sleep / anxiety / deficiency,33865376;28445426,,B00151G8L8
KAL Magnesium Glycinate 400,KAL,magnesium-glycinate,glycinate,400,mg,2 tablets,45,27.99,0.62,None,strong,sleep / anxiety / deficiency,33865376;28445426,,B0779GFZSG
Thorne Magnesium Bisglycinate,Thorne,magnesium-glycinate,bisglycinate,200,mg,1 capsule,60,25.99,0.87,NSF Certified for Sport,strong,sleep / anxiety / deficiency,33865376;28445426,,B0F5XYHRPV
Life Extension Optimized Folate 1700 mcg,Life Extension,methylfolate,L-methylfolate (Quatrefolic),1700,mcg,1 tablet,100,15.00,0.15,None,strong,MTHFR / depression adjunct,22950138,budget,B00228C6CY
Jarrow Formulas Methyl Folate 400 mcg,Jarrow Formulas,methylfolate,L-methylfolate (Quatrefolic),400,mcg,1 capsule,60,10.49,0.17,None,strong,prenatal / general,22950138,best-value,B0013OQLIW
Thorne 5-MTHF (Methylfolate) 1 mg,Thorne,methylfolate,5-MTHF,1000,mcg,1 capsule,60,21.00,0.35,NSF Certified for Sport,strong,MTHFR / depression adjunct,22950138,quality,B002GV4P7G
NATURELO One Daily Multivitamin for Women,NATURELO,multivitamin,whole-food multi,0,multi,1 capsule,60,27.95,0.47,None,moderate,daily nutrition gap-fill,,best-value,B01FWAM60I
Thorne Basic Nutrients 2/Day,Thorne,multivitamin,comprehensive multi,0,multi,2 capsules,30,31.00,1.03,NSF Certified for Sport,moderate,daily nutrition gap-fill,,quality,B01EIBBQJ0
Ritual Essential for Women 18+ Multivitamin,Ritual,multivitamin,targeted multi,0,multi,2 capsules,30,33.00,1.10,USP Verified,moderate,daily nutrition gap-fill,,,B078JRF6QN
Viva Naturals Triple Strength Omega-3,Viva Naturals,omega-3,rTG (re-esterified triglyceride),2070,mg EPA+DHA,2 softgels,90,27.99,0.31,IFOS 5-Star,strong,cardiovascular / inflammation,,budget,B014LDT0ZM
Sports Research Triple Strength Omega-3,Sports Research,omega-3,triglyceride,950,mg EPA+DHA,1 softgel,150,31.95,0.45,IFOS 5-Star / MSC Certified,strong,cardiovascular / inflammation,,best-value,B0BCH43LR5
NOW Foods Ultra Omega-3,NOW Foods,omega-3,ethyl ester,750,mg EPA+DHA,1 softgel,180,28.99,0.48,None,strong,cardiovascular / inflammation,,,B000SE5SY6
Carlson Elite Omega-3 Gems,Carlson,omega-3,triglyceride,1400,mg EPA+DHA,2 softgels,65,32.26,0.71,IFOS 5-Star,strong,cardiovascular / inflammation,,,B081VWWGCZ
Nordic Naturals Ultimate Omega,Nordic Naturals,omega-3,triglyceride,1100,mg EPA+DHA,2 softgels,90,42.46,0.94,IFOS 5-Star,strong,cardiovascular / inflammation,,quality,B002CQU564
Nordic Naturals Algae Omega (Vegan),Nordic Naturals,omega-3,algal triglyceride,585,mg EPA+DHA,2 softgels,60,45.29,2.57,Certified Vegan,strong,cardiovascular (vegan),,plant-based,B009KTUGSS
Optimum Nutrition Gold Standard 100% Whey Isolate,Optimum Nutrition,protein,whey isolate,24,g protein,1 scoop (31g),74,62.99,0.85,Informed Sport Certified,strong,muscle protein synthesis,,best-value,B000QSNYGI
Dymatize ISO100 Hydrolyzed Whey Protein Isolate,Dymatize,protein,hydrolyzed whey isolate,25,g protein,1 scoop (32g),76,72.99,0.96,Informed Sport Certified,strong,muscle protein synthesis,,quality,B000GIPJ0M
Garden of Life Organic Plant-Based Protein,Garden of Life,protein,plant blend (pea/rice/quinoa),22,g protein,1 scoop (33g),28,39.89,1.42,USDA Organic / NSF Certified for Sport,moderate,muscle protein synthesis (vegan),,plant-based,B010RS4BQ0
Transparent Labs 100% Grass-Fed Whey Protein Isolate,Transparent Labs,protein,grass-fed whey isolate,28,g protein,1 scoop (33g),30,59.99,2.00,Informed Sport Certified,strong,muscle protein synthesis,,,B0BLJ2J46H
Premier Protein Shake (30g Protein RTD),Premier Protein,protein,whey RTD shake,30,g protein,1 shake (11.5 fl oz),12,25.48,2.12,None,moderate,convenience / GLP-1 users,,convenience,B01EK3FIXO
Nature Made Vitamin B12 1000 mcg Sublingual,Nature Made,vitamin-b12,cyanocobalamin,1000,mcg,1 fast dissolve tablet,150,14.99,0.10,USP Verified,strong,B12 deficiency / energy,32716261,best-value,B0828JPPMX
Jarrow Formulas Methyl B-12 1000 mcg,Jarrow Formulas,vitamin-b12,methylcobalamin,1000,mcg,1 chewable tablet,100,13.99,0.14,None,strong,B12 deficiency / neuropathy,32716261,budget,B002FJW3ZY
NOW Foods Methyl B-12 5000 mcg,NOW Foods,vitamin-b12,methylcobalamin,5000,mcg,1 lozenge,60,16.99,0.28,None,strong,significant B12 deficiency,32716261,,B003O1R73U
Solgar Methylcobalamin 5000 mcg Sublingual,Solgar,vitamin-b12,methylcobalamin,5000,mcg,1 nugget (sublingual),60,20.55,0.34,None,strong,significant B12 deficiency,32716261,,B001LR047U
Thorne Vitamin B12 Methylcobalamin 1 mg,Thorne,vitamin-b12,methylcobalamin,1000,mcg,1 capsule,60,24.00,0.40,NSF Certified for Sport,strong,B12 deficiency / neuropathy,32716261,quality,B002BKW1YA
NOW Foods Vitamin C-1000 with Bioflavonoids,NOW Foods,vitamin-c,ascorbic acid + bioflavonoids,1000,mg,1 capsule,250,22.39,0.09,None,moderate,immune / antioxidant,,budget,B0013OUNK4
Nature Made Vitamin C 1000 mg,Nature Made,vitamin-c,ascorbic acid,1000,mg,1 tablet,100,10.49,0.10,USP Verified,moderate,immune / antioxidant,,best-value,B0000DJASY
Nature's Bounty Vitamin C 1000 mg,Nature's Bounty,vitamin-c,ascorbic acid,1000,mg,1 caplet,100,11.99,0.12,None,moderate,immune / antioxidant,,,B0061GLRN6
Thorne Vitamin C with Flavonoids,Thorne,vitamin-c,ascorbic acid + flavonoids,500,mg,1 capsule,180,27.00,0.30,NSF Certified for Sport,moderate,immune / antioxidant,,quality,B0797HCZVV
Nature Made Vitamin D3 2000 IU,Nature Made,vitamin-d3,cholecalciferol (D3),2000,IU,1 softgel,250,16.99,0.07,USP Verified,strong,deficiency correction / immune,,best-value,B004GJYTF8
NOW Foods Vitamin D3 5000 IU,NOW Foods,vitamin-d3,cholecalciferol (D3),5000,IU,1 softgel,240,20.90,0.09,None,strong,deficiency correction / immune,,budget,B0032BH76O
Nature Made Vitamin D3 5000 IU,Nature Made,vitamin-d3,cholecalciferol (D3),5000,IU,1 softgel,180,19.85,0.11,USP Verified,strong,deficiency correction / immune,,quality,B008GC9T6A
Thorne Vitamin D3 + K2 Liquid,Thorne,vitamin-d3,cholecalciferol (D3) + K2,1000,IU,2 drops,600,34.00,0.11,NSF Certified for Sport,strong,deficiency + bone health,,,B0038NF8MG
Nordic Naturals Vitamin D3 1000 IU,Nordic Naturals,vitamin-d3,cholecalciferol (D3),1000,IU,1 mini softgel,120,15.26,0.13,None,strong,maintenance dose,,,B002JOS7WS
Garden of Life Organics Vegan D3 Spray,Garden of Life,vitamin-d3,cholecalciferol (D3) lichen-derived,1000,IU,1 spray,125,17.49,0.14,USDA Organic / Vegan,strong,maintenance (vegan),,,B00K5NEPLW
Sports Research Vitamin D3 + K2,Sports Research,vitamin-d3,cholecalciferol (D3) + MK-7 K2,5000,IU,1 veggie softgel,120,43.95,0.37,Non-GMO Verified / Vegan,strong,deficiency + bone health,,,B07NXW4GW7
Nootropics Depot Tongkat Ali 10% Eurycomanone,Nootropics Depot,tongkat-ali,standardized extract (10% eurycomanone),100,mg,1 capsule,120,77.99,0.65,Third-Party Tested (HPTLC),moderate,testosterone / stress,,quality,B09WZ4PY86
Nootropics Depot Tongkat Ali 2% Eurycomanone,Nootropics Depot,tongkat-ali,standardized extract (2% eurycomanone),200,mg,1 capsule,120,29.99,0.25,Third-Party Tested (HPTLC),moderate,testosterone / stress,,best-value,B088GMRS82
Double Wood Tongkat Ali 200:1 Extract,Double Wood,tongkat-ali,200:1 root extract,1000,mg,2 capsules,60,21.99,0.37,Third-Party Tested,moderate,testosterone / stress,,budget,B07TTDFXFV
Momentous Tongkat Ali,Momentous,tongkat-ali,root extract,400,mg,2 capsules,30,19.95,0.67,Informed Sport Certified,moderate,testosterone / stress,,,B09WX9VHVX
Nootropics Depot KSM-66 Ashwagandha,Nootropics Depot,ashwagandha,KSM-66 root extract,300,mg,1 capsule,90,19.99,0.22,Third-Party Tested,strong,stress / anxiety / cortisol,23439798;31517876,best-value,B01CZ2EFC4
Jarrow Formulas Ashwagandha KSM-66,Jarrow Formulas,ashwagandha,KSM-66 root extract,300,mg,2 capsules,60,19.99,0.33,None,strong,stress / anxiety / cortisol,23439798;31517876,budget,B0013OQEO8
NOW Foods Ashwagandha Extract 450mg,NOW Foods,ashwagandha,standardized root extract,450,mg,1 capsule,90,16.99,0.19,None,strong,stress / anxiety,23439798;31517876,,B0013OQIJY
Thorne Ashwagandha (Shoden),Thorne,ashwagandha,Shoden root+leaf extract,120,mg,1 capsule,30,28.00,0.93,NSF Certified for Sport,strong,stress / anxiety / sleep,23439798;31517876;32540634,quality,B0FFQPKH7Z
